id,listing_url,host_id,host_total_listings_count,latitude,longitude,property_type,room_type,price,minimum_nights,maximum_nights,availability_365,number_of_reviews
19547553,https://www.airbnb.com/rooms/19547553,134378492,4,51.51546,-0.02359,Private room in rental unit,Private room,43.0,1,1125,0,0
53428565,https://www.airbnb.com/rooms/53428565,23800854,3,51.46076,-0.07268,Entire rental unit,Entire home/apt,78.0,4,90,0,3
53434376,https://www.airbnb.com/rooms/53434376,269093769,5,51.51346,-0.05594,Private room in rental unit,Private room,73.0,1,1125,325,119
19553852,https://www.airbnb.com/rooms/19553852,134440604,1,51.50602,-0.00515,Private room in rental unit,Private room,26.0,14,1125,0,0
53469338,https://www.airbnb.com/rooms/53469338,302126777,8,51.54985,0.16219,Private room in vacation home,Private room,73.0,1,365,0,0
19582290,https://www.airbnb.com/rooms/19582290,33889201,793,51.56548,-0.12968,Entire home,Entire home/apt,2460.0,4,1125,363,2
53550510,https://www.airbnb.com/rooms/53550510,12034620,1,51.59859,-0.13571,Entire home,Entire home/apt,425.0,5,20,363,0
53565209,https://www.airbnb.com/rooms/53565209,340897,1,51.50237,-0.05061,Entire condo,Entire home/apt,130.0,14,60,3,4
53601500,https://www.airbnb.com/rooms/53601500,402191311,1680,51.51376,-0.05995,Entire rental unit,Entire home/apt,120.0,1,1125,342,52
53602959,https://www.airbnb.com/rooms/53602959,430941352,12,51.53459,-0.13714,Entire rental unit,Entire home/apt,191.0,1,89,344,8
19638344,https://www.airbnb.com/rooms/19638344,138196788,4,51.46686,-0.19762,Entire rental unit,Entire home/apt,900.0,5,7,0,0
53715090,https://www.airbnb.com/rooms/53715090,69077921,1,51.55753,-0.07721,Entire home,Entire home/apt,125.0,3,14,0,5
53740167,https://www.airbnb.com/rooms/53740167,421245848,4,51.56355,-0.09995,Room in hotel,Private room,217.0,1,365,365,5
53751381,https://www.airbnb.com/rooms/53751381,359061357,17,51.52031,-0.21038,Entire serviced apartment,Entire home/apt,150.0,1,365,365,0
19639389,https://www.airbnb.com/rooms/19639389,138204399,1,51.48877,0.00457,Entire rental unit,Entire home/apt,75.0,3,1125,0,7
19641606,https://www.airbnb.com/rooms/19641606,127577398,3,51.47158,-0.18456,Private room in townhouse,Private room,30.0,1,1125,0,1
53756684,https://www.airbnb.com/rooms/53756684,435229361,1,51.56783,-0.26127,Entire home,Entire home/apt,230.0,1,10,279,53
19651406,https://www.airbnb.com/rooms/19651406,90464484,2,51.44308,-0.2156,Private room in home,Private room,26.0,1,1125,0,4
53872702,https://www.airbnb.com/rooms/53872702,201314853,1,51.46702,-0.20824,Private room in condo,Private room,37.0,28,365,0,27
